_id,timestamp,insert,delete,update,access,invalid_access,corruption_file,sensitive_data_masking,target1,target2,target3,target4
65d1bb9aea2df64ae7c09c98,2024-02-18T13:41:06.270Z,77,10,37,39,50,28,31,credential_misuse,corruption_file,sensitive_data_masking,clean_data
65d1bb9aea2df64ae7c09c99,2024-02-18T13:42:06.270Z,64,20,59,50,55,20,32,credential_misuse,corruption_file,sensitive_data_masking,clean_data
65d1bb9aea2df64ae7c09c9a,2024-02-18T13:43:06.270Z,15,82,62,95,49,76,8,bulk_deletion,credential_misuse,corruption_file,clean_data
65d1bb9aea2df64ae7c09c9b,2024-02-18T13:44:06.270Z,76,51,53,98,23,71,49,bulk_deletion,credential_misuse,corruption_file,sensitive_data_masking
65d1bb9aea2df64ae7c09c9c,2024-02-18T13:45:06.270Z,32,63,66,95,8,76,49,bulk_deletion,corruption_file,sensitive_data_masking,clean_data
65d1bb9aea2df64ae7c09c9d,2024-02-18T13:46:06.270Z,58,46,25,1,75,37,17,bulk_deletion,credential_misuse,corruption_file,sensitive_data_masking
65d1bb9aea2df64ae7c09c9e,2024-02-18T13:47:06.270Z,87,58,98,66,11,30,42,bulk_deletion,credential_misuse,corruption_file,sensitive_data_masking
65d1bb9aea2df64ae7c09c9f,2024-02-18T13:48:06.270Z,96,8,46,28,63,90,80,credential_misuse,corruption_file,sensitive_data_masking,clean_data
65d1bb9aea2df64ae7c09ca0,2024-02-18T13:49:06.270Z,2,71,9,26,74,58,98,bulk_deletion,credential_misuse,corruption_file,sensitive_data_masking
65d1bb9aea2df64ae7c09ca1,2024-02-18T13:50:06.270Z,11,73,23,64,42,65,79,bulk_deletion,credential_misuse,corruption_file,sensitive_data_masking
65d1bb9aea2df64ae7c09ca2,2024-02-18T13:51:06.270Z,58,48,10,15,69,50,80,bulk_deletion,credential_misuse,corruption_file,sensitive_data_masking
65d1bb9aea2df64ae7c09ca3,2024-02-18T13:52:06.270Z,62,53,45,7,52,59,45,bulk_deletion,credential_misuse,corruption_file,sensitive_data_masking
